,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,repay_fail
2,2,2,0,0,0,36 months,0,0,< 1 year,RENT,0,Not Verified,Dec-99,Charged Off,major_purchase,000xx,ZZ,0,0,Jan-01,0,NA,0,0,0,“0.00%”,1,0,0,0,0,Jan-07,0,Jan-07,Jan-07,1
3,545583,703644,2500,2500,2500,36 months,13.98,85.42,4 years,RENT,20004,Not Verified,Jul-10,Does not meet the credit policy. Status:Fully Paid,other,487xx,MI,19.86,0,Aug-05,5,NA,7,0,981,21.30%,10,3075.291779,3075.29,2500,575.29,Jul-13,90.85,Aug-13,Jun-16,0
4,532101,687836,5000,5000,5000,36 months,15.95,175.67,4 years,RENT,59000,Not Verified,Jun-10,Charged Off,debt_consolidation,115xx,NY,19.57,0,Apr-94,1,59,7,0,18773,99.90%,15,2948.76,2948.76,1909.02,873.81,Nov-11,175.67,NA,Mar-12,1
5,877788,1092507,7000,7000,7000,36 months,9.91,225.58,10+ years,MORTGAGE,53796,Not Verified,Sep-11,Fully Paid,other,751xx,TX,10.8,3,Mar-98,3,3,7,0,3269,47.20%,20,8082.39188,8082.39,7000,1082.39,Mar-14,1550.27,NA,Mar-14,0
6,875406,1089981,2000,2000,2000,36 months,5.42,60.32,10+ years,RENT,30000,Not Verified,Sep-11,Fully Paid,debt_consolidation,112xx,NY,3.6,0,Jan-75,0,72,7,0,0,0%,15,2161.663244,2161.66,2000,161.66,Feb-14,53.12,NA,Jun-16,0
7,506439,652909,3600,3600,3600,36 months,10.25,116.59,10+ years,MORTGAGE,675048,Not Verified,Apr-10,Does not meet the credit policy. Status:Fully Paid,other,352xx,AL,1.55,0,Apr-98,4,25,8,0,0,0%,25,4206.031191,4206.03,3600,606.03,May-13,146.75,Jun-13,Jun-16,0
8,981465,1204637,8000,8000,8000,36 months,6.03,243.49,n/a,MORTGAGE,77736,Verified,Oct-11,Fully Paid,other,853xx,AZ,6.07,0,Jul-96,0,NA,12,0,4182,13.60%,49,8724.971815,8724.97,8000,724.97,Apr-14,1423.66,NA,Apr-14,0
9,749050,948200,6000,6000,6000,36 months,7.49,186.61,3 years,RENT,35000,Not Verified,May-11,Fully Paid,debt_consolidation,658xx,MO,13.13,0,Oct-03,0,NA,5,0,5864,47.70%,9,6717.950109,6717.95,6000,717.95,May-14,211.41,NA,May-14,0
10,1016373,1243872,25600,25600,25472.82947,60 months,14.27,599.26,4 years,RENT,86000,Verified,Nov-11,Fully Paid,debt_consolidation,105xx,NY,26.51,0,Oct-83,1,NA,16,0,33021,70.80%,32,32840.05674,32659.13,25600,7240.06,Apr-14,16083.78,NA,Jun-16,0
11,786870,990345,19750,19750,19750,60 months,23.22,559.27,10+ years,MORTGAGE,72500,Verified,Jun-11,Fully Paid,debt_consolidation,630xx,MO,19.96,0,Mar-92,0,61,15,0,21544,98.70%,44,27544.89116,27544.89,19750,7794.89,Jun-13,15264.34,NA,Feb-16,0
12,1019261,1247939,6250,6250,6250,36 months,17.27,223.68,4 years,MORTGAGE,28000,Verified,Nov-11,Charged Off,other,450xx,OH,13.76,0,Oct-99,0,41,2,1,0,8.46%,15,6688.64,6688.64,4764.18,1713.09,Apr-14,223.68,NA,Sep-14,1
13,385577,417323,8000,8000,8000,36 months,13.79,272.61,5 years,RENT,75000,Source Verified,Mar-09,Fully Paid,credit_card,959xx,CA,12.78,0,Jun-90,1,42,8,0,9287,61.90%,37,9813.670737,9813.67,7999.97,1813.7,Apr-12,276.65,NA,Mar-12,0
